| Train ID | Start Position | Dir |   End Position |   E Dep |   L Arr |
|----------|----------------|-----|----------------|---------|---------|
|        0 |         (7, 8) |  n  |     (nan, nan) |     nan |     nan |
|        1 |         (7, 6) |  n  |     (nan, nan) |     nan |     nan |
|        2 |        (12, 2) |  n  |     (nan, nan) |     nan |     nan |
|        3 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|        4 |       (14, 13) |  n  |     (nan, nan) |     nan |     nan |
|        5 |        (9, 12) |  n  |     (nan, nan) |     nan |     nan |
|        6 |         (8, 6) |  n  |     (nan, nan) |     nan |     nan |
|        7 |         (7, 3) |  n  |     (nan, nan) |     nan |     nan |
|        8 |         (3, 2) |  n  |     (nan, nan) |     nan |     nan |
|        9 |        (2, 11) |  n  |     (nan, nan) |     nan |     nan |
|       10 |        (2, 15) |  n  |     (nan, nan) |     nan |     nan |
|       11 |        (5, 11) |  n  |     (nan, nan) |     nan |     nan |
|       12 |         (4, 7) |  n  |     (nan, nan) |     nan |     nan |
|       13 |        (3, 10) |  n  |     (nan, nan) |     nan |     nan |
|       14 |         (1, 6) |  n  |     (nan, nan) |     nan |     nan |
|       15 |         (4, 5) |  n  |     (nan, nan) |     nan |     nan |
|       16 |         (8, 7) |  n  |     (nan, nan) |     nan |     nan |
|       17 |       (12, 11) |  n  |     (nan, nan) |     nan |     nan |
|       18 |        (13, 5) |  n  |     (nan, nan) |     nan |     nan |
|       19 |        (14, 4) |  n  |     (nan, nan) |     nan |     nan |
|       20 |        (16, 8) |  n  |     (nan, nan) |     nan |     nan |
|       21 |       (17, 11) |  n  |     (nan, nan) |     nan |     nan |
|       22 |       (16, 10) |  n  |     (nan, nan) |     nan |     nan |
|       23 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       24 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       25 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       26 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       27 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       28 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       29 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       30 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       31 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       32 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       33 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       34 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       35 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       36 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       37 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       38 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       39 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       40 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       41 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       42 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       43 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
|       44 |        (15, 9) |  n  |     (nan, nan) |     nan |     nan |
